sitetag,Site,yr,TagNo,DBH,surv,lags,resurveyarea,newplt
MSC1241,MSC,2003,1241,NA,1,1,1,0
MSC1241,MSC,2004,1241,0.771681764474201,1,1,1,0
MSC1241,MSC,2005,1241,NA,NA,0,1,0
MSC1241,MSC,2006,1241,NA,NA,0,1,0
MSC1241,MSC,2007,1241,0.621150059078376,1,3,1,0
MSC1241,MSC,2008,1241,NA,NA,0,1,0
MSC1241,MSC,2009,1241,NA,NA,0,1,0
MSC1241,MSC,2010,1241,0.621150059078376,0,3,1,0
MSC1248,MSC,2002,1248,0.320086648286726,1,0,1,0
MSC1248,MSC,2003,1248,NA,1,1,1,0
MSC1248,MSC,2004,1248,NA,0,1,1,0
MSC1249,MSC,2002,1249,0.470618353682551,1,0,1,0
MSC1249,MSC,2003,1249,NA,1,1,1,0
MSC1249,MSC,2004,1249,NA,1,1,1,0
MSC1249,MSC,2005,1249,NA,NA,0,1,0
MSC1249,MSC,2006,1249,NA,NA,0,1,0
MSC1249,MSC,2007,1249,NA,0,3,1,0
MSC1251,MSC,2002,1251,0.470618353682551,1,0,1,0
MSC1251,MSC,2003,1251,NA,1,1,1,0
MSC1251,MSC,2004,1251,NA,1,1,1,0
MSC1251,MSC,2005,1251,NA,NA,0,1,0
MSC1251,MSC,2006,1251,NA,NA,0,1,0
MSC1251,MSC,2007,1251,NA,0,3,1,0
MSC1254,MSC,2002,1254,0.269909413154784,1,0,1,0
MSC1254,MSC,2003,1254,NA,1,1,1,0
MSC1254,MSC,2004,1254,NA,0,1,1,0
MSC1255,MSC,2002,1255,0.42044111855061,1,0,1,0
MSC1255,MSC,2003,1255,NA,1,1,1,0
MSC1255,MSC,2004,1255,NA,0,1,1,0
MSC1258,MSC,2002,1258,0.320086648286726,1,0,1,0
MSC1258,MSC,2003,1258,NA,1,1,1,0
MSC1258,MSC,2004,1258,NA,0,1,1,0
MSC1259,MSC,2002,1259,0.370263883418668,1,0,1,0
MSC1259,MSC,2003,1259,NA,1,1,1,0
MSC1259,MSC,2004,1259,0.42044111855061,1,1,1,0
MSC1259,MSC,2005,1259,NA,NA,0,1,0
MSC1259,MSC,2006,1259,NA,NA,0,1,0
MSC1259,MSC,2007,1259,0.872036234738085,1,3,1,0
MSC1259,MSC,2008,1259,NA,NA,0,1,0
MSC1259,MSC,2009,1259,NA,NA,0,1,0
MSC1259,MSC,2010,1259,0.821858999606143,1,3,1,0
MSC1259,MSC,2011,1259,1.07274517526585,1,1,1,0
MSC1259,MSC,2012,1259,NA,NA,0,1,0
MSC1259,MSC,2013,1259,0.6,1,2,1,0
MSC1259,MSC,2014,1259,0.9,1,1,1,0
MSC1259,MSC,2015,1259,9,0,1,1,0
MSC1261,MSC,2002,1261,0.320086648286726,1,0,1,0
MSC1261,MSC,2003,1261,0.320086648286726,1,1,1,0
MSC1261,MSC,2004,1261,0.370263883418668,1,1,1,0
MSC1261,MSC,2005,1261,NA,NA,0,1,0
MSC1261,MSC,2006,1261,NA,NA,0,1,0
MSC1261,MSC,2007,1261,0.621150059078376,1,3,1,0
MSC1261,MSC,2008,1261,NA,NA,0,1,0
MSC1261,MSC,2009,1261,NA,NA,0,1,0
MSC1261,MSC,2010,1261,0.821858999606143,1,3,1,0
MSC1261,MSC,2011,1261,NA,1,1,1,0
MSC1261,MSC,2012,1261,NA,NA,0,1,0
MSC1261,MSC,2013,1261,NA,0,2,1,0
MSC1262,MSC,2002,1262,0.370263883418668,1,0,1,0
MSC1262,MSC,2003,1262,0.370263883418668,1,1,1,0
MSC1262,MSC,2004,1262,0.370263883418668,1,1,1,0
MSC1262,MSC,2005,1262,NA,NA,0,1,0
MSC1262,MSC,2006,1262,NA,NA,0,1,0
MSC1262,MSC,2007,1262,0.671327294210318,1,3,1,0
